2	2221	5	16.37
115	3345	3	8.5
111	16644	3	19.76
3902	12	25	105.81
200	206	4	4.15
141	904	9	35.07
21284	14173	5	126.59
494	117	6	4.57
532	212	11	61.08
139	132	41	28.11
196	201	13	36.64
1117	158	3	9.69
827	14	25	13.99
2875	103	4	4.73
7181	14	5	8.65
4431	136	5	29.98
566	9	5	7
121	14860	8	83.71
676	16	11	27.14
4312	276	5	47.3
109	1531	54	378.98
289	193	3	4.21
1459	174	25	221.13
14487	14534	4	89.34
115	2460	6	21.35
6693	14	6	11.33
1385	104	6	6
468	140	9	22.25
140	3913	5	28.86
141	4029	3	14.65
114	714	7	9.6
117	310	24	46.48
115	1099	18	73.6
39	396	6	17.26
14510	12280	8	201.95
133	6947	4	26.1
2066	1362	3	32.17
112	447	11	12.48
112	2292	3	5.6
259	153	5	4.12
493	270	16	111.26
135	10648	5	41.55
1987	339	4	32.12
2402	106	4	9.28
59	7040	3	15.9
244	180	7	13.75
306	104	52	81.04
16	722	4	3.86
176	264	4	5.02
177	404	4	9.6
101	7501	5	15.51
3415	113	3	8.29
7668	179	8	85.45
449	151	6	14.28
222	5317	3	24.48
102	4278	4	6.09
188	1229	12	86.62
101	1951	9	12.38
278	101	67	58.88
102	2696	15	46.58
314	968	3	16.97
102	227	43	4.61
12	3255	10	16.52
7245	102	3	6.27
129	3541	4	18.8
385	104	16	6.6
102	4956	6	15.66
101	18539	3	13.49
152	2422	4	20.34
111	12369	10	97.55
213	2744	5	37.96
5221	103	4	9.08
1049	9521	3	41.79
14847	135	8	92.49
111	9184	3	14.88
1412	14	56	175.49
425	146	7	15.07
239	457	3	9.43
304	251	3	6.68
59	1343	6	18.24
1506	16	6	17.75
585	1367	10	104.91
521	1684	3	24.41
1144	9	78	686.29
668	1981	5	50.49
1651	315	3	20.35
105	3441	6	20.37
7760	14	9	29.53
2868	111	3	6.87
222	708	3	11.4
125	20258	3	26.59
731	151	3	6.39
8339	12	3	4.4
129	4469	4	20.96
18766	14	3	9.4
5172	12	4	4.1
119	10799	4	26.25
120	11078	6	47.35
116	11658	3	17.84
12	139	351	77.49
103	1243	9	9.78
247	463	5	21.1
9983	127	3	19.81
3619	913	11	153.21
2560	114	4	11
101	24193	3	17.2
8712	12	3	4.74
3881	103	5	10.35
1833	14	10	4.6
4513	4447	5	81.03
3276	121	3	9.55
6799	31672	3	68.46
111	2894	28	200.24
104	32147	3	24.74
132	144	33	18.48
165	14	355	303.06
473	109	19	38.4
1491	755	3	26.34
9006	108	3	14.42
536	2904	14	178.11
111	6376	14	107.85
103	13322	4	18.89
101	14128	5	25.65
121	25696	3	26.9
2125	3174	3	37.61
